Locus	depth.threshold	prop.cont.threshold	tag.threshold	motus.correct	pcr.correct	tag.correct	taxa.correct	motus.control.subtract	motus.control.remove
COIB1	100000	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MiFishU	100000	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
18SV9	100000	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
12S160	100000	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MiDeca	100000	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Unio	100000	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
rbcLverte	100	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
rbcLrouge	100	0.1	0.001	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
