ID_sample,Loci,Raw,Adapt
ADE_25_00709,MiFishU,2943769,1066011
ADE_25_00709,rbcLrouge,2943769,0
ADE_25_00709,rbcLverte,2943769,0
ADE_25_00710,12S160,3043722,1018086
ADE_25_00710,18SV9,3043722,0
ADE_25_00710,COIB1,3043722,1252038
ADE_25_00710,MiFishU,3043722,749522
ADE_25_00710,rbcLrouge,3043722,1
ADE_25_00710,rbcLverte,3043722,0
ADE_25_00711,12S160,2442345,1084503
ADE_25_00711,18SV9,2442345,0
ADE_25_00711,COIB1,2442345,1229809
ADE_25_00711,MiFishU,2442345,76519
ADE_25_00711,rbcLrouge,2442345,0
ADE_25_00711,rbcLverte,2442345,1
ADE_25_00712,12S160,3286123,1960737
ADE_25_00712,18SV9,3286123,1
ADE_25_00712,COIB1,3286123,574093
ADE_25_00712,MiFishU,3286123,676469
ADE_25_00712,rbcLrouge,3286123,0
ADE_25_00712,rbcLverte,3286123,0
ADE_25_00713,12S160,2197624,853605
ADE_25_00713,18SV9,2197624,0
ADE_25_00713,COIB1,2197624,463784
ADE_25_00713,MiFishU,2197624,859970
ADE_25_00713,rbcLrouge,2197624,0
ADE_25_00713,rbcLverte,2197624,0
ADE_25_00714,12S160,2546238,492768
ADE_25_00714,18SV9,2546238,1
ADE_25_00714,COIB1,2546238,1634969
ADE_25_00714,MiFishU,2546238,39625
ADE_25_00714,rbcLrouge,2546238,0
ADE_25_00714,rbcLverte,2546238,0
ADE_25_00715,12S160,1632414,814034
ADE_25_00715,18SV9,1632414,0
ADE_25_00715,COIB1,1632414,166435
ADE_25_00715,MiFishU,1632414,635681
ADE_25_00715,rbcLrouge,1632414,1
ADE_25_00715,rbcLverte,1632414,0
ADE_25_00716,12S160,3722225,705453
ADE_25_00716,18SV9,3722225,1
ADE_25_00716,COIB1,3722225,2013478
ADE_25_00716,MiFishU,3722225,975384
ADE_25_00716,rbcLrouge,3722225,0
ADE_25_00716,rbcLverte,3722225,0
ADE_25_00717,12S160,5047022,2129390
ADE_25_00717,18SV9,5047022,0
ADE_25_00717,COIB1,5047022,440615
ADE_25_00717,MiFishU,5047022,2426638
ADE_25_00717,rbcLrouge,5047022,2
ADE_25_00717,rbcLverte,5047022,3
ADE_25_00718,12S160,3307807,1397115
ADE_25_00718,18SV9,3307807,1
ADE_25_00718,COIB1,3307807,718269
