ID,Loci,Remove,Reads,N
ADE_25_00746_12S160,12S160,619057,Dada2,546554
ADE_25_00746_12S160,12S160,619057,Adapt,1165611
ADE_25_00747_12S160,12S160,236601,Dada2,813506
ADE_25_00747_12S160,12S160,236601,Adapt,1050107
ADE_25_00748_12S160,12S160,395593,Dada2,865201
ADE_25_00748_12S160,12S160,395593,Adapt,1260794
ADE_25_00749_12S160,12S160,394361,Dada2,1133172
ADE_25_00749_12S160,12S160,394361,Adapt,1527533
ADE_25_00750_12S160,12S160,219593,Dada2,23616
ADE_25_00750_12S160,12S160,219593,Adapt,243209
ADE_25_00751_12S160,12S160,70967,Dada2,261850
ADE_25_00751_12S160,12S160,70967,Adapt,332817
ADE_25_00752_12S160,12S160,809069,Dada2,270469
ADE_25_00752_12S160,12S160,809069,Adapt,1079538
ADE_25_00753_12S160,12S160,274036,Dada2,765532
ADE_25_00753_12S160,12S160,274036,Adapt,1039568
ADE_25_00754_12S160,12S160,328308,Dada2,620527
ADE_25_00754_12S160,12S160,328308,Adapt,948835
ADE_25_00755_12S160,12S160,1508904,Dada2,8429
ADE_25_00755_12S160,12S160,1508904,Adapt,1517333
ADE_25_00756_12S160,12S160,537345,Dada2,569211
ADE_25_00756_12S160,12S160,537345,Adapt,1106556
ADE_25_00757_12S160,12S160,244884,Dada2,391608
ADE_25_00757_12S160,12S160,244884,Adapt,636492
ADE_25_00758_12S160,12S160,161572,Dada2,629849
ADE_25_00758_12S160,12S160,161572,Adapt,791421
ADE_25_00759_12S160,12S160,568640,Dada2,95287
ADE_25_00759_12S160,12S160,568640,Adapt,663927
ADE_25_00760_12S160,12S160,184574,Dada2,709142
ADE_25_00760_12S160,12S160,184574,Adapt,893716
ADE_25_00761_12S160,12S160,382140,Dada2,63804
ADE_25_00761_12S160,12S160,382140,Adapt,445944
ADE_25_00762_12S160,12S160,499501,Dada2,872262
ADE_25_00762_12S160,12S160,499501,Adapt,1371763
ADE_25_00763_12S160,12S160,550195,Dada2,674912
ADE_25_00763_12S160,12S160,550195,Adapt,1225107
ADE_25_00764_12S160,12S160,210422,Dada2,810001
ADE_25_00764_12S160,12S160,210422,Adapt,1020423
ADE_25_00765_12S160,12S160,819780,Dada2,40416
ADE_25_00765_12S160,12S160,819780,Adapt,860196
ADE_25_00766_12S160,12S160,261076,Dada2,1314963
ADE_25_00766_12S160,12S160,261076,Adapt,1576039
ADE_25_00767_12S160,12S160,595796,Dada2,820620
ADE_25_00767_12S160,12S160,595796,Adapt,1416416
ADE_25_00768_12S160,12S160,216410,Dada2,820505
ADE_25_00768_12S160,12S160,216410,Adapt,1036915
ADE_25_00769_12S160,12S160,586890,Dada2,1382635
ADE_25_00769_12S160,12S160,586890,Adapt,1969525
ADE_25_00770_12S160,12S160,212887,Dada2,967104
ADE_25_00770_12S160,12S160,212887,Adapt,1179991
ADE_25_00771_12S160,12S160,286616,Dada2,1133882
ADE_25_00771_12S160,12S160,286616,Adapt,1420498
ADE_25_00772_12S160,12S160,369318,Dada2,46195
ADE_25_00772_12S160,12S160,369318,Adapt,415513
ADE_25_00773_12S160,12S160,480623,Dada2,9
ADE_25_00773_12S160,12S160,480623,Adapt,480632
ADE_25_01177_12S160,12S160,1048538,Dada2,293465
ADE_25_01177_12S160,12S160,1048538,Adapt,1342003
ADE_25_01178_12S160,12S160,746848,Dada2,1709487
ADE_25_01178_12S160,12S160,746848,Adapt,2456335
ADE_25_01179_12S160,12S160,411633,Dada2,745231
ADE_25_01179_12S160,12S160,411633,Adapt,1156864
ADE_25_01180_12S160,12S160,844719,Dada2,504754
ADE_25_01180_12S160,12S160,844719,Adapt,1349473
ADE_25_01181_12S160,12S160,994754,Dada2,320770
ADE_25_01181_12S160,12S160,994754,Adapt,1315524
ADE_25_01182_12S160,12S160,1122153,Dada2,206911
ADE_25_01182_12S160,12S160,1122153,Adapt,1329064
ADE_25_01183_12S160,12S160,392674,Dada2,256
ADE_25_01183_12S160,12S160,392674,Adapt,392930
ADE_25_01184_12S160,12S160,286267,Dada2,800157
ADE_25_01184_12S160,12S160,286267,Adapt,1086424
ADE_25_01185_12S160,12S160,471543,Dada2,863379
ADE_25_01185_12S160,12S160,471543,Adapt,1334922
ADE_25_01186_12S160,12S160,470685,Dada2,1543574
ADE_25_01186_12S160,12S160,470685,Adapt,2014259
ADE_25_01187_12S160,12S160,753695,Dada2,271870
ADE_25_01187_12S160,12S160,753695,Adapt,1025565
ADE_25_01188_12S160,12S160,1183762,Dada2,170693
ADE_25_01188_12S160,12S160,1183762,Adapt,1354455
ADE_25_01189_12S160,12S160,695019,Dada2,334683
ADE_25_01189_12S160,12S160,695019,Adapt,1029702
ADE_25_01190_12S160,12S160,672684,Dada2,644903
ADE_25_01190_12S160,12S160,672684,Adapt,1317587
ADE_25_01191_12S160,12S160,344002,Dada2,475193
ADE_25_01191_12S160,12S160,344002,Adapt,819195
ADE_25_01192_12S160,12S160,503692,Dada2,978421
ADE_25_01192_12S160,12S160,503692,Adapt,1482113
ADE_25_01193_12S160,12S160,534876,Dada2,124735
ADE_25_01193_12S160,12S160,534876,Adapt,659611
ADE_25_01194_12S160,12S160,1668436,Dada2,132735
ADE_25_01194_12S160,12S160,1668436,Adapt,1801171
ADE_25_01195_12S160,12S160,870963,Dada2,313313
