ID_sample,Loci,Merge,Final,ESVlength
ADE_25_01225,12S160,2968,2959,2959
ADE_25_01226,12S160,722194,661581,721855
ADE_25_01227,12S160,727258,676247,727151
ADE_25_01228,12S160,686243,614418,686215
ADE_25_01229,12S160,177397,173402,177349
ADE_25_01230,12S160,219693,137399,219679
ADE_25_01231,12S160,570587,526217,570217
ADE_25_01232,12S160,580065,500521,578026
ADE_25_01233,12S160,507491,486895,506666
ADE_25_01234,12S160,974382,835146,974328
ADE_25_01235,12S160,1083244,931855,1083119
ADE_25_01236,12S160,1177818,1026443,1177610
ADE_25_01237,12S160,911634,822482,911009
ADE_25_01238,12S160,1057951,858660,1057439
ADE_25_01239,12S160,821629,709206,820984
ADE_25_01240,12S160,1058496,876801,1058358
ADE_25_01241,12S160,1437271,1223681,1437231
ADE_25_01242,12S160,1410203,1190824,1410194
ADE_25_01243,12S160,130,130,130
ADE_25_01244,12S160,1134388,952131,1134380
ADE_25_01245,12S160,1574578,1362958,1574578
ADE_25_01246,12S160,1821645,1583893,1821645
ADE_25_01247,12S160,1187017,1068601,1186766
ADE_25_01248,12S160,1380220,1202330,1380215
ADE_25_01249,12S160,757216,644744,757212
ADE_25_01250,12S160,691208,633133,691208
ADE_25_01251,12S160,896432,783752,896432
ADE_25_01252,12S160,740491,699086,740491
ADE_25_01253,12S160,522516,467886,522369
ADE_25_01254,12S160,1650050,1340223,1650006
ADE_25_01255,12S160,2071809,1680827,2071774
ADE_25_01256,12S160,503939,450053,503808
ADE_25_01257,12S160,626581,589318,626114
ADE_25_01258,12S160,518936,451147,518692
ADE_25_01259,12S160,841639,781830,841639
ADE_25_01260,12S160,383966,375711,383966
ADE_25_01261,12S160,184856,181317,183326
ADE_25_01262,12S160,1517758,1406205,1517758
ADE_25_01263,12S160,383091,371153,383091
ADE_25_01264,12S160,588642,558155,588642
ADE_25_01265,12S160,167039,162735,167039
ADE_25_01266,12S160,3434,3405,3405
ADE_25_01267,12S160,25021,24925,24925
ADE_25_01268,12S160,181835,175777,181817
ADE_25_01269,12S160,376022,373691,376022
ADE_25_01270,12S160,331611,318912,331586
ADE_25_01271,12S160,524135,510844,524135
ADE_25_01272,12S160,281033,265229,280796
ADE_25_01273,12S160,326208,318658,326208
ADE_25_01274,12S160,135762,134387,135445
ADE_25_01275,12S160,579069,563232,578610
ADE_25_01276,12S160,297460,281599,297367
ADE_25_01277,12S160,225407,217112,224894
ADE_25_01278,12S160,160247,159379,160244
ADE_25_01279,12S160,170428,169317,170118
ADE_25_01280,12S160,570560,553538,570560
ADE_25_01281,12S160,165056,163650,165053
ADE_25_01282,12S160,245664,240005,245650
ADE_25_01283,12S160,10610,10600,10600
ADE_25_01284,12S160,1301323,1246614,1301320
ADE_25_01285,12S160,1137250,984075,1137250
ADE_25_01286,12S160,1066390,1034462,1066390
ADE_25_01287,12S160,614056,562541,614056
ADE_25_01288,12S160,255810,253915,255810
ADE_25_01289,12S160,612466,314583,612466
ADE_25_01290,12S160,559887,548861,559887
ADE_25_01291,12S160,1250829,1196780,1250829
ADE_25_01292,12S160,577805,432576,577790
ADE_25_01293,12S160,1063984,923070,1063891
ADE_25_01294,12S160,1946026,1654443,1946026
ADE_25_01295,12S160,773004,633244,771527
ADE_25_01296,12S160,598580,549295,596922
ADE_25_01297,12S160,1052024,990108,1051836
ADE_25_01298,12S160,450942,415334,450654
ADE_25_01299,12S160,479827,430672,479596
ADE_25_01300,12S160,1056549,962123,1056540
ADE_25_01301,12S160,983114,955468,983048
ADE_25_01302,12S160,576087,568518,575913
ADE_25_01303,12S160,688698,670850,688682
ADE_25_01304,12S160,412820,401279,412820
ADE_25_01305,12S160,788652,723379,788618
ADE_25_01306,12S160,1126519,1007588,1126515
ADE_25_01307,12S160,0,0,0
ADE_25_01308,12S160,866793,789169,866789
ADE_25_01309,12S160,805592,735677,805331
ADE_25_01310,12S160,195096,194237,195091
ADE_25_01311,12S160,1059828,872611,1059786
ADE_25_01312,12S160,19780,15388,19655
ADE_25_01313,12S160,158708,154426,158708
ADE_25_01314,12S160,340639,324737,340639
ADE_25_01315,12S160,132713,130180,132637
ADE_25_01316,12S160,307516,296410,307512
ADE_25_01317,12S160,441880,428650,441870
ADE_25_01318,12S160,352047,341816,352047
ADE_25_01319,12S160,831005,537100,831005
ADE_25_01320,12S160,40,40,40
ADE_25_01321,12S160,1032435,851817,1032426
ADE_25_01322,12S160,990713,837548,990710
ADE_25_01323,12S160,1193374,967255,1193374
ADE_25_01324,12S160,295886,268489,295815
ADE_25_01325,12S160,405627,381998,405613
ADE_25_01326,12S160,344213,324526,344213
ADE_25_01327,12S160,291608,274455,291587
ADE_25_01328,12S160,373957,350381,373957
ADE_25_01329,12S160,883916,861318,883916
ADE_25_01330,12S160,741446,686214,741446
ADE_25_01331,12S160,544890,530929,544890
ADE_25_01332,12S160,1466014,1440162,1466014
ADE_25_01333,12S160,1,1,1
ADE_25_01334,12S160,418514,399232,418448
ADE_25_01335,12S160,726882,687657,726882
ADE_25_01336,12S160,694042,623840,694042
ADE_25_01337,12S160,189389,187043,189334
ADE_25_01338,12S160,1701718,1600760,1701718
ADE_25_01339,12S160,315759,305166,315752
ADE_25_01340,12S160,589,589,589
ADE_25_01341,12S160,497963,448245,497963
ADE_25_01342,12S160,782957,678505,782957
ADE_25_01343,12S160,1242250,1047052,1242250
ADE_25_01344,12S160,39903,36983,38889
ADE_25_01345,12S160,27935,27729,27919
ADE_25_01346,12S160,38180,36631,38053
ADE_25_01347,12S160,602188,573005,602176
ADE_25_01348,12S160,294387,287183,294387
ADE_25_01349,12S160,485012,481200,485012
ADE_25_01350,12S160,84319,77533,83845
ADE_25_01351,12S160,117981,114497,117974
ADE_25_01352,12S160,61021,59526,60989
ADE_25_01353,12S160,74393,73997,74389
ADE_25_01354,12S160,256462,245441,256460
ADE_25_01355,12S160,264288,262466,264288
ADE_25_01356,12S160,24624,24302,24410
ADE_25_01357,12S160,499,499,499
ADE_25_01358,12S160,8764,8470,8764
ADE_25_01359,12S160,4,0,0
ADE_25_01360,12S160,263021,230920,263012
ADE_25_01361,12S160,382841,374677,382841
ADE_25_01362,12S160,389421,347387,389396
ADE_25_01363,12S160,180678,164494,180676
ADE_25_01364,12S160,264308,253030,264277
ADE_25_01365,12S160,302673,284826,302660
ADE_25_01366,12S160,38416,36139,37585
ADE_25_01367,12S160,144616,133754,143746
ADE_25_01368,12S160,224590,196877,224314
ADE_25_01369,12S160,74668,73983,74668
ADE_25_01370,12S160,81827,80970,81732
ADE_25_01371,12S160,380389,368270,380386
ADE_25_01372,12S160,2,2,2
ADE_25_01373,12S160,588602,507439,588547
ADE_25_01374,12S160,437233,375744,437213
ADE_25_01375,12S160,342602,299568,342378
ADE_25_01376,12S160,259403,252906,259357
ADE_25_01377,12S160,86555,84799,85727
ADE_25_01378,12S160,511010,442528,507098
ADE_25_01379,12S160,0,0,0
ADE_25_01380,12S160,59613,57735,59613
ADE_25_01381,12S160,847061,768738,847011
ADE_25_01382,12S160,979252,898341,979247
ADE_25_01383,12S160,45626,43791,45116
ADE_25_01384,12S160,179194,162545,179117
ADE_25_01385,12S160,14232,14047,14182
ADE_25_01386,12S160,0,0,0
ADE_25_01387,12S160,220299,212375,220299
ADE_25_01388,12S160,114716,111756,114707
ADE_25_01389,12S160,335756,315708,335756
ADE_25_01390,12S160,134568,130424,134560
ADE_25_01391,12S160,81700,79987,81674
ADE_25_01392,12S160,192095,181514,192062
ADE_25_01393,12S160,10,10,10
ADE_25_01394,12S160,781898,655919,781898
ADE_25_01395,12S160,1175007,954184,1175007
ADE_25_01396,12S160,1151974,922045,1151974
ADE_25_01397,12S160,38164,37959,38100
ADE_25_01398,12S160,70007,63707,64047
ADE_25_01399,12S160,42145,40592,40735
ADE_25_01400,12S160,1,1,1
ADE_25_01401,12S160,672757,669604,672757
ADE_25_01402,12S160,1,1,1
ADE_25_01403,12S160,23,23,23
ADE_25_01404,12S160,0,0,0
ADE_25_01640,12S160,1468,1468,1468
ADE_25_01641,12S160,2,2,2
N_25_00090,12S160,1,1,1
N_25_00091,12S160,0,0,0
N_25_00092,12S160,1653,1653,1653
P_25_00072,12S160,1437211,1431996,1437211
P_25_00073,12S160,3271024,3249900,3271024
P_25_00074,12S160,2546364,2535677,2546364
P_25_00075,12S160,2872154,2857953,2872154
P_25_00076,12S160,2899313,2886585,2899313
P_25_00077,12S160,2878385,2861676,2878385
P_25_00078,12S160,3552966,3539658,3552966
P_25_00079,12S160,3070833,3055206,3070833
P_25_00080,12S160,3722933,3708904,3722933
P_25_00081,12S160,2938407,2927647,2938407
P_25_00082,12S160,3836092,3813378,3836092
P_25_00083,12S160,3346189,3336000,3346189
ADE_25_00688,COIB1,317615,272595,317178
ADE_25_00689,COIB1,638453,560624,637016
ADE_25_00690,COIB1,1052900,933545,1050406
ADE_25_00691,COIB1,2630901,2607571,2630848
ADE_25_00692,COIB1,715441,712000,715439
ADE_25_00693,COIB1,560038,470291,559309
ADE_25_00694,COIB1,1952087,1326384,1949117
